Timestamp,Dataset and observation name,What Controlled Vocabulary should be used with this dataset?,Is it a chemical observation?,Do you know the chemical formula?,Is it a physical observation?,Is it an optical property?,Is it a proxy observation?,Is it a biological observation?,Does the observation include species name?,Is it a geological observation?,Is it related to atmospheric/oceanic surface dynamics?,Is it affiliated with the Argo program?,Is it associated with the LTER program?,Is it associated with the CDIP program?,Is the platform used to collect the observation a ship?,Is the platform used to collect the observation fixed?,Is it a visual observation?,Is there a preference for interoperability (Yes) vs discoverability (No)? ,Is netCDF the data model for your observations?,Is Darwin Core the data model for your observations?,Zoom Room Number
7/15/2021 20:49:52,VA Buoy obs for water temp: https://www.ndbc.noaa.gov/show_plot.php?station=44088&meas=wtmp&uom=E&time_diff=-4&time_label=EDT,CF Standard Names (https://cfconventions.org/standard-names.html),No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,
7/15/2021 22:35:13,PRCRMP Reef Rugosity: https://mbon.ioos.us/#metadata/87b1e0a5-540f-4b3e-bbc8-b90577928b90/bc768117-4ee4-4c3c-9931-6e219c770b7d ,Coastal and Marine Ecological Classification Standard (CMECS) (https://iocm.noaa.gov/standards/cmecs-home.html),No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,
7/16/2021 9:31:29,CCHDO DOC from dataset: https://cchdo.ucsd.edu/cruise/325020210420,CF Standard Names (https://cfconventions.org/standard-names.html),Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,
7/16/2021 9:33:15,fluorometer (FIX),P01 from NERC Vocabulary Server (if other vocab in NERC use 'other' and populate with vocabulary) (https://vocab.nerc.ac.uk/search_nvs/P01/),No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,
7/16/2021 14:35:13,Prey count https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nes.2.2,P01 from NERC Vocabulary Server (if other vocab in NERC use 'other' and populate with vocabulary) (https://vocab.nerc.ac.uk/search_nvs/P01/),No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,1
7/20/2021 13:46:38,https://doi.org/10.1594/PANGAEA.855693,Environment Ontology (ENVO) (http://www.obofoundry.org/ontology/envo.html),Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Both equally,No,No,5
7/20/2021 13:53:59,Instrument models,LTER controlled vocabulary (https://vocab.lternet.edu/vocab/vocab/index.php),No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Both equally,No,No,Main Room
7/20/2021 14:05:47,Polychaete worms,Darwin Core terms (https://dwc.tdwg.org/terms/),No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Both equally,No,Yes,Room 1
7/20/2021 14:15:53,18S eDNA Observations from nearshore seawater,Darwin Core terms (https://dwc.tdwg.org/terms/),No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Both equally,No,Yes,Room 1
7/20/2021 14:16:38,"Sea state, https://www.seanoe.org/data/00601/71337/",Environment Ontology (ENVO) (http://www.obofoundry.org/ontology/envo.html),No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Both equally,Yes,No,4
